buyer_phrases,seller_phrases
How much for one?,It’s the best quality.
Is it pure?,I have what you need.
Can you deliver?,Prices are firm.
What's the price?,Can meet in an hour.
How fast can you get it?,Got some fresh stuff.
I need something strong.,How much do you need?
Can we meet somewhere?,Fast delivery available.
Do you have more?,Cash only.
What’s the quality like?,This one’s stronger.
How much for a small amount?,Returning customers get a deal.
Can I pay in cash?,Meet me at the usual spot.
Is it safe?,Got new supply in.
Is it the same as last time?,I can hook you up.
I need it by tomorrow.,Price goes up next time.
Where should I pick up?,Let me know if you need more.
Can you do a discount?,Just restocked.
How discreet is this?,"Only a few left, act fast."
What's the minimum order?,"No samples, sorry."
Do you have any reviews?,Keep this discreet.
Can I get a sample first?,I’ll handle everything.
What other options do you have?,Price is set.
Can you come to my area?,I’ll let you know the time.
What’s the total cost?,This batch is clean.
Is there a risk?,Only cash accepted.
How strong is it?,Meet at the same spot.
Can I get more next time?,Stock is fresh.
Are there any deals?,It’s a strong dose.
How do I pay?,For regulars only.
When is the next delivery?,Text me for location.
How long will it last?,I don’t do discounts.
Do I get a bulk discount?,Ready whenever you are.
What’s your availability?,Only the best here.
Can I get a quick response?,Next shipment soon.
Are you flexible on price?,Already packed and ready.
What payment methods do you accept?,Deal is final.
Is it good quality?,You won’t find better.
Is it packaged well?,Quality is guaranteed.
How much for larger quantities?,Quick delivery assured.
Do you have references?,Let’s keep this low-key.
What’s the refund policy?,Regular price applies.
How many types do you have?,I don’t do samples.
Can I get a small sample?,Secure location only.
Do you have pictures?,Best in the market.
What’s the best price?,"Fresh stock, just arrived."
Will it be safe to carry?,Only premium stuff.
What’s the potency level?,This won’t last long.
Can we do this quietly?,Fast service guaranteed.
How often do you get new stock?,Call me directly.
Any hidden fees?,Meet at a different spot.
Can I get it today?,"High demand, act quickly."
